City,State,Population,Latitude,Longitude,IsActive
Davidsons Landing,AK,,65.2419444,-165.2716667,true
Kenai,AK,7610,60.5544444,-151.2583333,true
Oakman,AL,,33.7133333,-87.3886111,true
Richards Crossroads,AL,,31.7369444,-85.2644444,true
Sandfort,AL,,32.3380556,-85.2233333,true
Selma,AL,18980,32.4072222,-87.0211111,true
Shadow Oaks Addition,AR,,34.9555556,-91.9475000,true
Summerville,AR,,33.5202778,-92.3555556,true
El Mirage,AZ,32308,33.6130556,-112.3238889,true
Willow Springs,AZ,,36.1894444,-111.3930556,true
Colton,CA,52335,34.0738889,-117.3127778,true
Fontana,CA,169160,34.0922222,-117.4341667,true
Fountain Valley,CA,56133,33.7091667,-117.9527778,true
Kings Beach,CA,,39.2377778,-120.0255556,true
Milpitas,CA,62636,37.4283333,-121.9055556,true
Mokelumne City,CA,,38.2530556,-121.4380556,true
Mount Eden,CA,,37.6361111,-122.0988889,true
San Clemente,CA,62272,33.4269444,-117.6111111,true
Seal Beach,CA,24404,33.7413889,-118.1038889,true
West Hollywood,CA,37031,34.0900000,-118.3608333,true
Bridgeport,CT,139090,41.1669444,-73.2052778,true
Orange,CT,13860,41.2783333,-73.0261111,true
Azalea Park,FL,12347,28.5408333,-81.3008333,true
Bratt,FL,,30.9655556,-87.4275000,true
Cutler Ridge,FL,26831,25.5802778,-80.3469444,true
Dunn Creek,FL,,30.4861111,-81.5908333,true
South Daytona,FL,14451,29.1655556,-81.0047222,true
Brickhouse,GA,,33.7750000,-82.8108333,true
Lakeview Heights,GA,,33.6188889,-84.4505556,true
Perry,GA,11234,32.4580556,-83.7316667,true
Roswell,GA,77218,34.0230556,-84.3616667,true
Warfield,GA,,33.2994444,-83.3838889,true
Kirkman,IA,,41.7286111,-95.2650000,true
Travers,ID,,42.6091667,-113.7361111,true
Calhoun,IL,,38.6502778,-88.0436111,true
Cleone,IL,,39.4230556,-87.9075000,true
Deerfield,IL,19618,42.1711111,-87.8444444,true
Highbank Town,IN,,38.5144444,-87.1502778,true
Indianapolis,IN,773283,39.7683333,-86.1580556,true
Leona,KS,,39.7872222,-95.3213889,true
New Salem,KS,,37.3105556,-96.8950000,true
Flint Springs,KY,,37.3433333,-86.7136111,true
Harvey,LA,22383,29.9033333,-90.0772222,true
Jennings,LA,10547,30.2222222,-92.6569444,true
King,LA,,32.2405556,-91.1213889,true
Opelousas,LA,22835,30.5333333,-92.0813889,true
Reading,MA,23441,42.5255556,-71.0958333,true
Mount Airy,MD,8714,39.3761111,-77.1550000,true
Auburn,ME,23488,44.0977778,-70.2316667,true
Ellsworth,ME,7055,44.5433333,-68.4200000,true
Sturgis,MI,11081,41.7991667,-85.4191667,true
Brooklyn Center,MN,27718,45.0761111,-93.3325000,true
Coon Rapids,MN,62528,45.1200000,-93.2875000,true
Moark,MO,,36.3825000,-89.9888889,true
Owens,MO,,37.2188889,-92.4027778,true
Natchez,MS,17118,31.5602778,-91.4030556,true
Rogers,NE,,41.4652778,-96.9147222,true
Hollis,NH,7711,42.7430556,-71.5922222,true
Bayonne,NJ,59878,40.6686111,-74.1147222,true
Belleville,NJ,36878,40.7936111,-74.1505556,true
Frenchtown,NJ,,40.5261111,-75.0619444,true
Sharp,NJ,,40.0922222,-74.7427778,true
Los Ranchos de Albuquerque,NM,5184,35.1619444,-106.6422222,true
Deerhead,NY,,44.3522222,-73.5436111,true
Howland,NY,,43.0791667,-76.6827778,true
Lake Grove,NY,10715,40.8527778,-73.1155556,true
Penfield Center,NY,,43.1672222,-77.4313889,true
Comet,OH,,39.1158333,-82.5511111,true
Little Mountain,OH,,41.6402778,-81.2819444,true
Mason,OH,30988,39.3600000,-84.3100000,true
Siverly,OH,,39.3488889,-82.5000000,true
Gladstone,OR,12249,45.3808333,-122.5936111,true
Gresham,OR,98851,45.4983333,-122.4302778,true
Ephrata,PA,13182,40.1797222,-76.1791667,true
Mount Airy,PA,,41.0941667,-79.5222222,true
Uhlerstown,PA,,40.5252778,-75.0736111,true
Weis Library,PA,,42.0483333,-80.1700000,true
Woodcock,PA,,41.7547222,-80.0858333,true
Rock Hill,SC,59766,34.9247222,-81.0252778,true
Summerville,SC,34958,33.0183333,-80.1758333,true
Wolfton,SC,,33.5883333,-80.9819444,true
Avenger Village,TX,,32.4594444,-100.4552778,true
Brashear,TX,,33.1186111,-95.7333333,true
Dumas Junction,TX,,35.2127778,-101.8019444,true
Edinburg,TX,60509,26.3013889,-98.1630556,true
Eichelberger Crossing,TX,,31.6166667,-97.3077778,true
Euless,TX,53221,32.8369444,-97.0816667,true
Greenock,TX,,31.7661111,-97.3452778,true
Greenville,TX,25382,33.1383333,-96.1105556,true
Highland Village,TX,15365,33.0916667,-97.0463889,true
Maxey Town,TX,,31.4433333,-94.1225000,true
Pharr,TX,60687,26.1944444,-98.1833333,true
Snyder,TX,10600,32.7177778,-100.9172222,true
Webster,TX,9038,29.5375000,-95.1180556,true
Wild Peach Village,TX,,29.0833333,-95.6336111,true
Misty Hills Numbers 1-7,UT,,40.6416667,-111.9955556,true
Pleasant Grove,UT,24449,40.3641667,-111.7377778,true
Rio Vista,VA,,37.5688889,-77.5230556,true
Tabernacle,VA,,37.4230556,-76.2966667,true
Cody,WY,9161,44.5263889,-109.0558333,true
